rank,genres,names,price,release,discription,players,peak_tody,images,imagehtml,,
36,RPG,FINAL FANTASY XIV Online,19.99,2014-02-18,Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,22842 ,26717 ,https://cdn.akamai.steamstatic.com/steam/apps/39210/header.jpg?t=1669805579,<img src='https://cdn.akamai.steamstatic.com/steam/apps/39210/header.jpg?t=1669805579'>,,
37,Action,Red Dead Redemption 2,59.99,2019-12-05,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",20934 ,37009 ,https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1671485009,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1671485009'>,,
38,Simulation,Garry's Mod,9.99,2006-11-29,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,20371 ,27572 ,https://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1663621793,<img src='https://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1663621793'>,,
39,RPG,The Elder Scrolls V: Skyrim Special Edition,39.99,2016-10-27,"Winner of more than 200 Game of the Year Awards, Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space",20173 ,22253 ,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796,<img src='https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796'>,,
40,Simulation,Euro Truck Simulator 2,19.99,2012-10-18,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",19385 ,36122 ,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1677839068,<img src='https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1677839068'>,,
41,Simulation,VRChat,Free To Play,2017-02-01,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat",18980 ,24843 ,https://cdn.akamai.steamstatic.com/steam/apps/438100/header.jpg?t=1662741577,<img src='https://cdn.akamai.steamstatic.com/steam/apps/438100/header.jpg?t=1662741577'>,,
42,Action,Resident Evil 4,59.99,2023-03-23,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",18688 ,29378 ,https://cdn.akamai.steamstatic.com/steam/apps/2050650/header.jpg?t=1680840402,<img src='https://cdn.akamai.steamstatic.com/steam/apps/2050650/header.jpg?t=1680840402'>,,
43,Action,Wartales,34.99,2023-04-12,"Wartales is an open world RPG in which you lead a group of mercenaries in their search for wealth across a massive medieval universe. Explore the world, recruit companions, collect bounties and unravel the secrets of the tombs of the ancients!",18128 ,24215 ,https://cdn.akamai.steamstatic.com/steam/apps/1527950/header_alt_assets_2.jpg?t=1681306889,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1527950/header_alt_assets_2.jpg?t=1681306889'>,,
44,Action,The Elder Scrolls_ Online,19.99,2014-04-04,"Join over 20 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.",17885 ,23013 ,https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg?t=1681923675,<img src='https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg?t=1681923675'>,,
45,Action,New World,39.99,2021-09-28,"Explore a thrilling, open-world MMO filled with danger and opportunity where you'll forge a new destiny on the supernatural island of Aeternum.",17850 ,22081 ,https://cdn.akamai.steamstatic.com/steam/apps/1063730/header.jpg?t=1680741052,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1063730/header.jpg?t=1680741052'>,,
46,Action,tModLoader,Free To Play,2020-05-16,"Dig, Fight, and Build your way through the world of player-created mods on Terraria with tModLoader - this DLC makes modding Terraria a reality!",17834 ,22922 ,https://cdn.akamai.steamstatic.com/steam/apps/1281930/header.jpg?t=1681581093,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1281930/header.jpg?t=1681581093'>,,
47,Action,Summoners War: Chronicles,,2022-11-09,The King of Rahil is looking for a Summoner to protect the kingdom against Tefo's enormous conspiracy. Your story as a Rahil Guard begins now! Explore a vast world with your Summoned companions by your side in this new Action RPG set in the Summoners War Universe.,17672 ,23607 ,https://cdn.akamai.steamstatic.com/steam/apps/2167580/header.jpg?t=1678369249,<img src='https://cdn.akamai.steamstatic.com/steam/apps/2167580/header.jpg?t=1678369249'>,,
48,Strategy,Bloons TD 6,13.99,2018-12-17,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,17175 ,19715 ,https://cdn.akamai.steamstatic.com/steam/apps/960090/header.jpg?t=1680582958,<img src='https://cdn.akamai.steamstatic.com/steam/apps/960090/header.jpg?t=1680582958'>,,
49,Strategy,RimWorld,34.99,2018-10-17,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",16975 ,19782 ,https://cdn.akamai.steamstatic.com/steam/apps/294100/header.jpg?t=1676391313,<img src='https://cdn.akamai.steamstatic.com/steam/apps/294100/header.jpg?t=1676391313'>,,
50,Action,Hunt: Showdown,39.99,2019-08-27,"Hunt: Showdown is a high-stakes, tactical PvPvE first-person shooter. Hunt for bounties in the infested Bayou, kill nightmarish monsters and outwit competing hunters - alone or in a group - with your glory, gear, and gold on the line.",16698 ,26391 ,https://cdn.akamai.steamstatic.com/steam/apps/594650/header.jpg?t=1681921147,<img src='https://cdn.akamai.steamstatic.com/steam/apps/594650/header.jpg?t=1681921147'>,,
51,Action,7 Days to Die,24.99,2013-12-13,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!",16441 ,22830 ,https://cdn.akamai.steamstatic.com/steam/apps/251570/header.jpg?t=1650477344,<img src='https://cdn.akamai.steamstatic.com/steam/apps/251570/header.jpg?t=1650477344'>,,
